id,data,varia_dia,varia_1_dia_antes,varia_1_dia_depois,varia_2_dias_antes,varia_2_dias_depois,sentimento_PRE,sentimento_POS
1,2025-10-13,0.529998779296875,-1.5,1.7900009155273295,-1.1699981689452983,2.6800003051757812,10,3
2,2025-08-28,-0.75,1.9899978637695312,-0.20999908447268467,-2.2299957275390625,0.34000396728515625,-10,3
3,2025-08-28,-0.75,1.9899978637695312,-0.20999908447268467,-2.2299957275390625,0.34000396728515625,-10,3
4,2025-08-27,1.9899978637695312,-2.2299957275390625,-0.75,-0.6100006103515625,-0.20999908447268467,-10,0
5,2025-08-18,2.75,-1.3199996948242045,-0.7699966430664062,-0.5200042724609659,-0.04999542236328125,10,8
6,2025-08-13,-2.589996337890639,6.479995727539034,-0.5200042724609659,-0.08000183105467329,-1.3199996948242045,10,3
7,2025-08-11,-0.08000183105467329,-0.410003662109375,6.479995727539034,1.479995727539034,-2.589996337890639,10,3
8,2025-07-22,-1.2700042724609375,0.40999603271485796,0.7900009155273295,-0.589996337890625,-0.4799957275390767,10,3
9,2025-10-06,-1.6399993896484375,0.06999969482419033,-1.6900024414062358,-3.5800094604492188,-1.7099990844726562,10,8
10,2025-10-06,-1.6399993896484375,0.06999969482419033,-1.6900024414062358,-3.5800094604492188,-1.7099990844726562,-10,3
11,2025-11-19,1.209991455078125,-3.0200042724609375,0.07000732421875,-4.0,3.54998779296875,-10,-4
12,2025-11-25,-1.05999755859375,3.54998779296875,0.30999755859375,0.07000732421875,0.1800079345703125,10,3
13,2025-11-04,0.339996337890625,0.0200042724609375,2.649993896484375,-0.959991455078125,-0.7700042724609375,10,3
14,2025-11-10,-1.279998779296875,1.0200042724609375,1.9600067138671875,-0.7700042724609375,3.410003662109375,10,3
15,2025-11-21,0.07000732421875,1.209991455078125,3.54998779296875,-3.0200042724609375,-1.05999755859375,10,3
